2022-02-15 10:55:52; 00:00:01.1620; Consulta; InsertHistory; AppController; createHistory; 2143;
2022-02-15 10:55:53; 00:00:12.12588; Consulta; Funcion completa; BaseCustomersController; consult; 2143;
2022-02-15 10:56:04; 00:00:00.86; Declinada; Conteo Normalizacion; AppController; updateHistory; 2143;
2022-02-15 10:56:04; 00:00:00.80; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2143;
2022-02-15 10:56:06; 00:00:01.1235; Declinada; Guardar History; AppController; updateHistory; 2143;
2022-02-15 10:56:07; 00:00:00.98; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2143;
2022-02-15 10:56:07; 00:00:00.98; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2143;
2022-02-15 10:56:08; 00:00:00.408; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2143;
2022-02-15 10:56:08; 00:00:05.5338; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2143;
2022-02-15 10:56:09; 00:00:00.66; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2143;
